trial_id,spike_times,condition_id,condition_angle,unit_label
64,"[209.3, 1141.1, 1170.2, 1199.2, 1212.4, 1229.9, 1256.2, 1274.0, 1340.4, 1369.6, 1428.9, 1484.9, 1569.1, 1618.8, 2941.5, 2972.0, 3356.5, 3445.8, 3477.7, 3516.2, 3573.6, 3620.1, 3734.2]",5,150,"A588, U18, #15, OT"
65,"[388.2, 874.5, 907.6, 1051.2, 1078.5, 1168.8, 1181.8, 1954.3, 2245.2, 3020.3, 3498.1, 4413.3]",4,120,"A588, U18, #15, OT"
66,"[90.3, 906.8, 937.8, 1216.9, 1410.7, 1425.8, 1451.3, 1512.6, 1550.1, 1683.6, 1696.5, 1730.4, 1775.4, 1786.4, 1792.1, 1794.8, 1825.2, 1894.0, 1907.5, 1923.4, 2122.9, 2188.6, 2826.9, 2879.8, 3063.8, 3081.3, 3118.7, 3149.4, 3176.7, 3184.1, 3189.8, 3420.0, 3705.6, 3716.5, 3796.3, 3820.5, 3843.6, 3859.5, 4016.0, 4067.0, 4287.0, 4403.7]",10,300,"A588, U18, #15, OT"
67,"[408.8, 549.5, 623.3, 1121.4, 1627.1, 1693.3, 1762.8, 1908.3, 1983.7, 2049.1, 2061.5, 3204.1, 3264.9, 3372.1, 3454.0, 3964.6, 4014.1, 4124.5, 4188.1]",11,330,"A588, U18, #15, OT"
68,"[226.1, 382.9, 749.9, 792.2, 815.8, 895.7, 1171.5, 3138.2, 3177.7, 4163.9, 4351.4]",2,60,"A588, U18, #15, OT"
69,"[3478.1, 3977.2, 4017.2]",6,180,"A588, U18, #15, OT"
70,"[1254.9, 1355.6, 1389.0, 1448.3, 1612.1, 1640.5, 1701.2, 1809.2, 2152.0, 2301.1, 4108.7, 4237.2, 4316.4]",0,0,"A588, U18, #15, OT"
71,"[2478.1, 2607.4, 3746.6, 3750.4, 4099.4, 4104.3, 4196.1, 4222.6, 4424.0, 4450.5]",9,270,"A588, U18, #15, OT"
72,"[2648.0, 3018.2, 3726.7, 3949.0, 4046.6]",1,30,"A588, U18, #15, OT"
73,"[207.1, 267.0, 2164.0, 2491.1, 2533.6, 2582.6, 2922.9, 3031.9, 3097.5, 3125.8, 3172.8, 3293.2, 3328.7, 3575.3, 3620.9, 3696.4, 3714.6, 3753.4, 3774.4, 3875.6, 3887.5, 3912.3, 3919.8, 3935.5, 3939.5, 3950.7, 3980.2, 4028.0, 4072.1, 4159.1, 4184.0]",8,240,"A588, U18, #15, OT"
74,"[252.7, 1447.6, 1521.2, 1853.9, 1904.5, 1984.2, 2100.7, 2283.5, 2740.9, 2829.8, 2854.5, 2863.0, 3479.2]",5,150,"A588, U18, #15, OT"
75,"[141.5, 205.6, 218.6, 222.1, 265.9, 279.9, 292.3, 321.5, 418.7, 496.9, 542.9, 2031.9, 2164.4, 2204.7, 2233.5, 2260.1, 2270.3, 2272.4, 2277.8, 2347.6, 2356.2, 2409.9, 2435.5, 2456.1, 2508.9, 2686.2, 2707.1, 3970.1, 3993.2, 4220.6, 4322.9]",3,90,"A588, U18, #15, OT"
76,"[221.5, 1209.7, 1872.3, 1927.5, 1964.0, 2052.3, 2162.9, 2739.9, 2788.9, 2847.1, 2880.3, 2887.8, 2928.7, 3109.6, 3604.1, 4069.9, 4093.4]",0,0,"A588, U18, #15, OT"
77,"[147.1, 220.7, 361.5, 448.3, 1090.0, 1151.5, 1172.9, 1279.6, 1297.3, 1334.2, 1352.1, 1364.9, 1375.5, 1381.7, 1387.1, 1407.9, 1412.6, 1420.6, 1426.0, 1483.1, 1535.1, 1555.4, 1580.5, 1594.8, 1616.4, 1787.7, 1797.3, 2282.4, 2484.8, 2490.6, 2567.3, 2946.5, 4255.1, 4295.8, 4306.1, 4355.9]",4,120,"A588, U18, #15, OT"
78,"[325.8, 346.9, 369.4, 1063.8, 1218.9, 1228.4, 1586.4, 1629.4, 1682.3, 1720.3, 1751.0, 2058.3, 2192.1, 2245.2, 2272.2, 2308.7, 3600.5]",6,180,"A588, U18, #15, OT"
79,"[536.0, 601.3, 889.2, 1039.5, 1066.5, 1119.4, 1960.8, 2253.3, 2256.4, 2895.9, 4068.8, 4086.9]",11,330,"A588, U18, #15, OT"
80,"[1308.6, 1529.5, 1591.2, 1644.0, 3355.9, 3822.9, 4020.3]",2,60,"A588, U18, #15, OT"
81,"[529.5, 1911.5, 2010.8, 3027.8, 3246.0, 3808.2, 4064.0, 4085.5, 4149.7, 4199.4, 4338.2]",9,270,"A588, U18, #15, OT"
82,"[319.9, 466.1, 692.2, 842.4, 1009.4, 1077.8, 1439.6, 1484.7, 1594.2, 1676.9, 1721.6, 1820.5, 1838.3, 1862.8, 1909.2, 1919.4, 1991.8, 2025.4, 2082.9, 2139.1, 2171.6, 3087.3, 3676.2, 3736.4, 3875.1, 3928.2, 3940.5, 4005.3, 4097.5, 4156.5, 4223.4, 4232.7, 4325.1, 4343.3, 4403.4]",7,210,"A588, U18, #15, OT"
83,"[56.6, 560.0, 612.3, 634.5, 658.4, 2005.2, 2052.4, 2085.6, 3451.8, 3732.4, 4015.3, 4056.1, 4235.3, 4297.3]",10,300,"A588, U18, #15, OT"
84,"[659.4, 665.3, 1038.3, 1185.4, 1277.9, 3259.6, 3290.3, 3523.0, 3610.2, 3687.6, 3775.1, 3780.4, 3970.1]",1,30,"A588, U18, #15, OT"
85,"[307.2, 367.8, 1001.2, 1186.6, 1844.8, 2131.0, 2139.4, 2241.0, 2282.6, 2611.0, 2655.4, 2692.5, 2712.0, 2725.6, 3726.2, 3791.7]",8,240,"A588, U18, #15, OT"
86,"[2047.0, 2208.3, 2254.0, 2408.4, 2512.2, 2537.7, 2566.6, 2689.0, 2889.4, 3004.2, 3146.1, 3183.0, 3347.3, 3453.5, 3648.7, 3712.3, 3785.9, 3876.7, 3934.5, 4051.0, 4072.4, 4098.6, 4123.6, 4212.3, 4224.2, 4245.4, 4402.5, 4466.2]",9,270,"A588, U18, #15, OT"
87,"[11.5, 30.5, 890.1, 925.8, 1535.9, 2675.9, 4326.3]",3,90,"A588, U18, #15, OT"
88,"[36.2, 86.8, 159.2, 191.5, 300.4, 309.4, 402.8, 468.0, 528.0, 541.2, 546.1, 569.7, 597.8, 629.9, 706.1, 714.0, 730.4, 773.1, 808.8, 873.5, 950.6, 964.2, 978.9, 1006.6, 1078.8, 1087.5, 1124.6, 1485.0, 2091.1, 2384.0, 2436.0, 3091.8, 3104.9, 3244.7, 3289.6, 3311.8, 4014.6]",6,180,"A588, U18, #15, OT"
89,"[334.1, 421.3, 454.9, 1040.1, 1057.6, 1148.4, 1295.9, 1448.0, 1473.2, 1489.7, 1521.7, 1560.8, 1634.6, 1842.3, 2188.8, 2200.9, 2616.9, 2749.1, 2800.9, 2822.1, 2835.4, 2878.9, 3550.4, 3776.1, 3788.3, 3805.1, 3895.4]",4,120,"A588, U18, #15, OT"
90,"[467.5, 603.0, 639.8, 661.5, 820.2, 932.5, 1668.9, 1766.4, 2422.4, 4157.0]",1,30,"A588, U18, #15, OT"
91,"[1243.0, 1371.6, 3445.7, 3706.6]",5,150,"A588, U18, #15, OT"
92,"[81.5, 140.7, 2875.8, 2912.6, 3082.9, 3112.2, 3160.2, 3167.8, 3238.2, 3273.6, 3340.3, 3419.7, 3430.8, 3670.9, 4103.0, 4215.4, 4232.2, 4238.5, 4444.6]",10,300,"A588, U18, #15, OT"
93,"[425.0, 1195.3, 2417.5, 4093.0, 4311.4]",8,240,"A588, U18, #15, OT"
